Fecha;Descripcion;Valor
6-may;Parqueaderos Gestion Calidad; $ 4.500 
6-may;Papel Chicle; $ 11.500 
11-may;Parqueadero Gestion Calidad; $ 3.000 
12-may;Parqueadero M2; $ 1.000 
12-may;Compra de cable para M2; $ 19.000 
15-may;Pasajes MYT; $ 3.800 
15-may;recarga civica; $ 10.000 
27-may;tester multimetro; $ 18.000 
28-may;Parqueaderos - B2ley; $ 11.600 
29-may;Pasajes Bekko; $ 7.600 
31-may;pega loca; $ 1.000 
1-jun;Bateria Marcela; $ 85.000 
2-jun;Parqueadero Gestion Calidad; $ 1.500 
2-jun;Compra Virtualtronic - Multipuertos; $ 35.000 
2-jun;Compra Virtualtronic - Cargador ASUS Autonorte; $ 40.000 
5-jun;Pasajes transglobal; $ 3.800 
5-jun;recarga civica; $ 10.000 
10-jun;Parqueadero Premium Plaza; $ 2.000 
24-jun;limpiado electronico y trapos; $ 19.000 
26-jun;pega loca transglobal; $ 1.300 
26-jun;Pasajes transglobal; $ 7.600 
